pcak,k,mode,opa,q,nms,nsel,prec,rec,nvis
12,5,l1,0.30,0.75,0.9,7330,0.4687,0.6300,4064
12,5,l1,0.30,0.75,0.7,6206,0.4657,0.6098,3434
12,5,l1,0.50,0.25,off,15342,0.4964,0.7987,8386
12,5,l1,0.50,0.25,0.9,13627,0.4910,0.7878,7443
12,5,l1,0.50,0.25,0.7,10813,0.4758,0.7622,5901
12,5,l1,0.50,0.40,off,12273,0.4977,0.7456,6773
12,5,l1,0.50,0.40,0.9,11079,0.4940,0.7355,6095
12,5,l1,0.50,0.40,0.7,8991,0.4802,0.7111,4928
12,5,l1,0.50,0.55,off,9205,0.4928,0.6697,5092
12,5,l1,0.50,0.55,0.9,8430,0.4892,0.6588,4650
12,5,l1,0.50,0.55,0.7,7005,0.4793,0.6340,3865
12,5,l1,0.50,0.65,off,7160,0.4942,0.6131,3965
12,5,l1,0.50,0.65,0.9,6627,0.4881,0.6026,3662
12,5,l1,0.50,0.65,0.7,5671,0.4796,0.5863,3130
12,5,l1,0.50,0.75,off,5114,0.4984,0.5366,2850
12,5,l1,0.50,0.75,0.9,4808,0.4936,0.5295,2673
12,5,l1,0.50,0.75,0.7,4234,0.4877,0.5156,2351
12,5,l1,0.60,0.25,off,12285,0.5182,0.7505,6712
12,5,l1,0.60,0.25,0.9,11074,0.5125,0.7403,6039
12,5,l1,0.60,0.25,0.7,9045,0.4969,0.7192,4918
12,5,l1,0.60,0.40,off,9828,0.5137,0.6913,5415
12,5,l1,0.60,0.40,0.9,8980,0.5095,0.6831,4929
12,5,l1,0.60,0.40,0.7,7461,0.4953,0.6612,4081
12,5,l1,0.60,0.55,off,7371,0.5094,0.6246,4078
12,5,l1,0.60,0.55,0.9,6806,0.5044,0.6154,3755
12,5,l1,0.60,0.55,0.7,5810,0.4920,0.5952,3198
12,5,l1,0.60,0.65,off,5733,0.5103,0.5648,3180
12,5,l1,0.60,0.65,0.9,5351,0.5034,0.5559,2959
12,5,l1,0.60,0.65,0.7,4680,0.4904,0.5400,2581
12,5,l1,0.60,0.75,off,4095,0.5182,0.4944,2290
12,5,l1,0.60,0.75,0.9,3884,0.5124,0.4894,2168
12,5,l1,0.60,0.75,0.7,3484,0.5027,0.4776,1940
12,5,l1,0.70,0.25,off,9835,0.5334,0.6989,5357
12,5,l1,0.70,0.25,0.9,8992,0.5274,0.6911,4881
12,5,l1,0.70,0.25,0.7,7501,0.5134,0.6724,4064
12,5,l1,0.70,0.40,off,7868,0.5273,0.6403,4337
12,5,l1,0.70,0.40,0.9,7278,0.5222,0.6320,3988
