scene,view,control,channel,grid,components,ink_pixels,long_component_ink_fraction
chair,27,median_depth,E_shape_ridge,90_60,77,35769,0.9906902625178227
chair,27,median_depth,E_shape_valley,95_70,48,12298,0.9842250772483331
chair,27,median_depth,E_shape_valley,90_60,77,35769,0.9906902625178227
chair,27,no_ids,E_occ,95_70,378,9559,0.71900826446281
chair,27,no_ids,E_occ,90_60,509,17240,0.8455916473317865
chair,27,no_ids,E_layer,95_70,48,366,0.0
chair,27,no_ids,E_layer,90_60,78,900,0.46111111111111114
chair,27,no_ids,E_shape_ridge,95_70,491,13943,0.7672667288244998
chair,27,no_ids,E_shape_ridge,90_60,533,20373,0.8387080940460413
chair,27,no_ids,E_shape_valley,95_70,58,11068,0.9840079508492953
chair,27,no_ids,E_shape_valley,90_60,241,23004,0.9487480438184663
chair,27,rgb_canny,E_occ,95_70,286,9384,0.8402600170502984
chair,27,rgb_canny,E_occ,90_60,286,9384,0.8402600170502984
chair,27,rgb_canny,E_layer,95_70,286,9384,0.8402600170502984
chair,27,rgb_canny,E_layer,90_60,286,9384,0.8402600170502984
chair,27,rgb_canny,E_shape_ridge,95_70,286,9384,0.8402600170502984
chair,27,rgb_canny,E_shape_ridge,90_60,286,9384,0.8402600170502984
chair,27,rgb_canny,E_shape_valley,95_70,286,9384,0.8402600170502984
chair,27,rgb_canny,E_shape_valley,90_60,286,9384,0.8402600170502984
chair,27,shuffled_depths,E_occ,95_70,1431,6892,0.1286999419616947
chair,27,shuffled_depths,E_occ,90_60,1907,13708,0.3550481470674059
chair,27,shuffled_depths,E_layer,95_70,184,216,0.0
chair,27,shuffled_depths,E_layer,90_60,357,431,0.0
chair,27,shuffled_depths,E_shape_ridge,95_70,1447,7314,0.32936833470057425
chair,27,shuffled_depths,E_shape_ridge,90_60,1788,12649,0.5054154478614911
chair,27,shuffled_depths,E_shape_valley,95_70,1933,6561,0.12696235329980185
chair,27,shuffled_depths,E_shape_valley,90_60,2654,11904,0.34038978494623656
chair,27,shuffled_ids,E_occ,95_70,411,6540,0.4896024464831804
chair,27,shuffled_ids,E_occ,90_60,591,12110,0.6081750619322873
chair,27,shuffled_ids,E_layer,95_70,46,290,0.0
chair,27,shuffled_ids,E_layer,90_60,75,727,0.22420907840440166
chair,27,shuffled_ids,E_shape_ridge,95_70,814,3011,0.13118565260710727
chair,27,shuffled_ids,E_shape_ridge,90_60,1222,5362,0.17791868705706826
chair,27,shuffled_ids,E_shape_valley,95_70,298,3718,0.6742872512103282
chair,27,shuffled_ids,E_shape_valley,90_60,775,6792,0.5618374558303887
chair,27,tau90_32,E_occ,95_70,371,12904,0.8113763174209547
chair,27,tau90_32,E_occ,90_60,419,20608,0.8790760869565217
chair,27,tau90_32,E_layer,95_70,44,564,0.524822695035461
chair,27,tau90_32,E_layer,90_60,64,955,0.6272251308900524
chair,27,tau90_32,E_shape_ridge,95_70,357,13115,0.7697293175752955
chair,27,tau90_32,E_shape_ridge,90_60,449,19788,0.8315140489185365
chair,27,tau90_32,E_shape_valley,95_70,91,10708,0.9716100112065745
chair,27,tau90_32,E_shape_valley,90_60,207,21795,0.9639366827253958
chair,27,tau90_64,E_occ,95_70,300,12920,0.8763931888544891
chair,27,tau90_64,E_occ,90_60,329,20907,0.9203137705074855
chair,27,tau90_64,E_layer,95_70,49,364,0.0
chair,27,tau90_64,E_layer,90_60,75,901,0.5194228634850167
chair,27,tau90_64,E_shape_ridge,95_70,343,13495,0.798443868099296
chair,27,tau90_64,E_shape_ridge,90_60,469,19900,0.8235678391959799
chair,27,tau90_64,E_shape_valley,95_70,74,10978,0.9732191656039352
chair,27,tau90_64,E_shape_valley,90_60,177,22574,0.9683706919464871
chair,27,tau95_128,E_occ,95_70,292,13271,0.8734835355285961
chair,27,tau95_128,E_occ,90_60,305,21179,0.9211010907030549
chair,27,tau95_128,E_layer,95_70,43,336,0.17261904761904762
chair,27,tau95_128,E_layer,90_60,73,859,0.41443538998835855
chair,27,tau95_128,E_shape_ridge,95_70,367,13481,0.8020176544766708
chair,27,tau95_128,E_shape_ridge,90_60,486,19426,0.83686811489756
chair,27,tau95_128,E_shape_valley,95_70,59,10568,0.9675435276305829
chair,27,tau95_128,E_shape_valley,90_60,185,22582,0.9660348950491542
chair,27,tau95_32,E_occ,95_70,376,12980,0.8031587057010786
chair,27,tau95_32,E_occ,90_60,414,20955,0.8928656645192078
chair,27,tau95_32,E_layer,95_70,41,575,0.6104347826086957
chair,27,tau95_32,E_layer,90_60,67,1023,0.5630498533724341
chair,27,tau95_32,E_shape_ridge,95_70,349,12937,0.7752183659271856
chair,27,tau95_32,E_shape_ridge,90_60,454,19373,0.8351313683993187
chair,27,tau95_32,E_shape_valley,95_70,97,10763,0.9513146892130447
chair,27,tau95_32,E_shape_valley,90_60,200,21711,0.963336557505412
chair,27,tau95_64,E_occ,95_70,294,13227,0.870794586829969
chair,27,tau95_64,E_occ,90_60,289,21165,0.9263879045594141
chair,27,tau95_64,E_layer,95_70,47,311,0.0
chair,27,tau95_64,E_layer,90_60,76,882,0.41383219954648526
chair,27,tau95_64,E_shape_ridge,95_70,360,13423,0.8081650897712881
chair,27,tau95_64,E_shape_ridge,90_60,497,19497,0.8258193568241268
chair,27,tau95_64,E_shape_valley,95_70,71,10763,0.9671095419492707
chair,27,tau95_64,E_shape_valley,90_60,183,22529,0.9659993785787208
chair,27,uniform,E_occ,95_70,358,11563,0.797024993513794
chair,27,uniform,E_occ,90_60,470,18614,0.859406898033738
chair,27,uniform,E_layer,95_70,54,438,0.1004566210045662
chair,27,uniform,E_layer,90_60,98,886,0.3261851015801354
chair,27,uniform,E_shape_ridge,95_70,471,13659,0.7756058276594187
chair,27,uniform,E_shape_ridge,90_60,573,20328,0.822215663124754
chair,27,uniform,E_shape_valley,95_70,88,10648,0.9704169797145004
chair,27,uniform,E_shape_valley,90_60,270,21824,0.952300219941349
chair,53,density,E_occ,95_70,31,7601,0.969346138665965
chair,53,density,E_occ,90_60,50,11905,0.9737085258294834
chair,53,density,E_layer,95_70,31,7601,0.969346138665965
chair,53,density,E_layer,90_60,50,11905,0.9737085258294834
chair,53,density,E_shape_ridge,95_70,31,7601,0.969346138665965
chair,53,density,E_shape_ridge,90_60,50,11905,0.9737085258294834
chair,53,density,E_shape_valley,95_70,31,7601,0.969346138665965
chair,53,density,E_shape_valley,90_60,50,11905,0.9737085258294834
chair,53,expected_depth,E_occ,95_70,70,17897,0.9860311784097894
chair,53,expected_depth,E_occ,90_60,80,29641,0.9917006848621841
chair,53,expected_depth,E_layer,95_70,70,17897,0.9860311784097894
chair,53,expected_depth,E_layer,90_60,80,29641,0.9917006848621841
chair,53,expected_depth,E_shape_ridge,95_70,70,17897,0.9860311784097894
chair,53,expected_depth,E_shape_ridge,90_60,80,29641,0.9917006848621841
chair,53,expected_depth,E_shape_valley,95_70,70,17897,0.9860311784097894
chair,53,expected_depth,E_shape_valley,90_60,80,29641,0.9917006848621841
chair,53,front_depth,E_occ,95_70,57,16177,0.9888730914260988
chair,53,front_depth,E_occ,90_60,39,35645,0.9980081357834198
chair,53,front_depth,E_layer,95_70,57,16177,0.9888730914260988
chair,53,front_depth,E_layer,90_60,39,35645,0.9980081357834198
chair,53,front_depth,E_shape_ridge,95_70,57,16177,0.9888730914260988
chair,53,front_depth,E_shape_ridge,90_60,39,35645,0.9980081357834198
chair,53,front_depth,E_shape_valley,95_70,57,16177,0.9888730914260988
chair,53,front_depth,E_shape_valley,90_60,39,35645,0.9980081357834198
chair,53,full,E_occ,95_70,413,13579,0.7999116282495029
chair,53,full,E_occ,90_60,350,21758,0.8913503079327144
chair,53,full,E_layer,95_70,94,1071,0.4098972922502334
chair,53,full,E_layer,90_60,118,1705,0.5155425219941349
chair,53,full,E_shape_ridge,95_70,253,10746,0.862925739810162
chair,53,full,E_shape_ridge,90_60,368,16495,0.8502576538344953
chair,53,full,E_shape_valley,95_70,84,14129,0.9754405831976786
chair,53,full,E_shape_valley,90_60,151,22387,0.9747174699602448
chair,53,k16,E_occ,95_70,567,7554,0.535477892507281
chair,53,k16,E_occ,90_60,846,12765,0.6074422248335292
chair,53,k16,E_layer,95_70,12,185,0.4702702702702703
chair,53,k16,E_layer,90_60,33,483,0.5652173913043478
chair,53,k16,E_shape_ridge,95_70,196,6916,0.8230190861769809
chair,53,k16,E_shape_ridge,90_60,317,12133,0.8215610318964807
chair,53,k16,E_shape_valley,95_70,159,8622,0.8973556019485038
chair,53,k16,E_shape_valley,90_60,260,14602,0.9199424736337488
chair,53,k4,E_occ,95_70,80,179,0.0
chair,53,k4,E_occ,90_60,155,349,0.0
chair,53,k4,E_layer,95_70,1,13,0.0
chair,53,k4,E_layer,90_60,1,15,0.0
chair,53,k4,E_shape_ridge,95_70,64,436,0.0
chair,53,k4,E_shape_ridge,90_60,132,799,0.0
chair,53,k4,E_shape_valley,95_70,58,178,0.0
chair,53,k4,E_shape_valley,90_60,123,407,0.0
chair,53,k8,E_occ,95_70,341,1536,0.13346354166666666
chair,53,k8,E_occ,90_60,603,2732,0.1478770131771596
chair,53,k8,E_layer,95_70,10,52,0.0
chair,53,k8,E_layer,90_60,16,167,0.38922155688622756
chair,53,k8,E_shape_ridge,95_70,181,2722,0.6495224099926524
chair,53,k8,E_shape_ridge,90_60,272,4069,0.62202015237159
chair,53,k8,E_shape_valley,95_70,216,1713,0.35785172212492705
chair,53,k8,E_shape_valley,90_60,384,3395,0.4385861561119293
chair,53,median_depth,E_occ,95_70,68,21719,0.9898706201942999
chair,53,median_depth,E_occ,90_60,50,33067,0.9979133274866181
chair,53,median_depth,E_layer,95_70,68,21719,0.9898706201942999
chair,53,median_depth,E_layer,90_60,50,33067,0.9979133274866181
chair,53,median_depth,E_shape_ridge,95_70,68,21719,0.9898706201942999
chair,53,median_depth,E_shape_ridge,90_60,50,33067,0.9979133274866181
chair,53,median_depth,E_shape_valley,95_70,68,21719,0.9898706201942999
chair,53,median_depth,E_shape_valley,90_60,50,33067,0.9979133274866181
chair,53,no_ids,E_occ,95_70,533,8208,0.5653021442495126
chair,53,no_ids,E_occ,90_60,478,17160,0.836013986013986
chair,53,no_ids,E_layer,95_70,94,1071,0.4098972922502334
